sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大同,臺北市,62,二氧化氮,普通,0.9,0.82,11,23,13,8,40,77,37.4,-,-,"2025-02-07 10:00",,0.6,8,10,1,121.51342074,25.06331455,16
松山,臺北市,55,二氧化氮,普通,1.5,0.33,17,34,11,7,29,34.9,5.4,0.9,26,"2025-02-07 10:00",,0.2,6,4,1,121.578611,25.05,15
古亭,臺北市,52,二氧化氮,普通,1.5,0.38,25,37,5,5,24,28.1,4.4,1.7,49,"2025-02-07 10:00",,0.2,4,4,1,121.529556,25.020608,14
萬華,臺北市,48,,良好,0.3,0.37,28,36,9,3,20,22.6,2.1,2.3,101,"2025-02-07 10:00",,0.3,2,6,1,121.507972,25.046503,13
中山,臺北市,58,二氧化氮,普通,0.5,0.53,16,30,19,5,33,46.1,12.8,1.5,76,"2025-02-07 10:00",,0.3,5,11,1,121.526528,25.062361,12
士林,臺北市,37,,良好,0.8,0.32,34,40,3,0,14,15.1,0.6,0.5,332,"2025-02-07 10:00",,0.2,1,2,1,121.51666356,25.10334003,11
淡水,新北市,41,,良好,0.3,0.25,41,44,5,5,4,5.3,1,3.4,20,"2025-02-07 10:00",,0.2,4,5,0,121.449239,25.1645,10
林口,新北市,37,,良好,0.5,0.25,31,40,4,1,14,17.2,3.1,3.6,46,"2025-02-07 10:00",,0.2,2,3,1,121.36548982,25.07798949,9
菜寮,新北市,45,,良好,0.6,0.45,29,35,5,6,19,20.5,1.4,1.9,109,"2025-02-07 10:00",,0.3,5,6,0,121.481028,25.06895,8
新莊,新北市,40,,良好,0.5,0.38,29,33,6,3,18,19.5,1.6,1.9,65,"2025-02-07 10:00",,0.3,4,2,0,121.4325,25.037972,7
板橋,新北市,48,,良好,0.9,0.41,28,38,5,2,21,23.4,2.6,2.3,103,"2025-02-07 10:00",,0.3,3,4,1,121.458667,25.012972,6
土城,新北市,36,,良好,1.5,0.39,33,38,7,1,16,16.9,0.9,1.1,128,"2025-02-07 10:00",,0.3,2,5,0,121.451861,24.982528,5
新店,新北市,36,,良好,0.4,0.32,34,39,9,0,15,16.1,1.2,0.9,57,"2025-02-07 10:00",,0.2,2,7,0,121.537778,24.977222,4
萬里,新北市,54,懸浮微粒,普通,0.6,0.23,48,50,41,5,3,3.7,0.8,7.2,38,"2025-02-07 10:00",,0.2,4,34,0,121.689881,25.179667,3
汐止,新北市,48,,良好,1.9,0.3,26,38,13,3,20,22.4,2.1,0.6,55,"2025-02-07 10:00",,0.2,4,8,0,121.64081,25.06624,2
基隆,基隆市,44,,良好,0.8,0.26,46,47,6,3,4,4.4,0.4,1.6,95,"2025-02-07 10:00",,0.2,3,5,1,121.760056,25.129167,1
屏東(枋山),屏東縣,37,,良好,0.4,0.26,26,36,39,21,6,7.2,1.4,2.4,316,"2025-02-07 09:00",,0.2,9,20,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,30,,良好,0.1,0.23,45,33,16,4,6,7.9,2.3,6.1,36,"2025-02-07 09:00",,0.2,4,8,0,121.61575076,23.97709367,312
新北（樹林）,新北市,53,二氧化氮,普通,0.7,0.47,19,23,4,1,25,34.4,9.1,0,155,"2025-02-07 09:00",,0.2,2,4,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,63,細懸浮微粒,普通,0.2,0.34,12,12,9,9,6,12.1,6.3,0.1,36,"2025-02-07 09:00",,0.3,17,19,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,141,細懸浮微粒,對敏感族群不健康,4.4,0.77,13,17,73,52,21,28.9,7.8,3,331,"2025-02-07 09:00",,0.5,47,65,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,73,細懸浮微粒,普通,0.4,0.31,29,27,29,21,9,10.5,1,3.9,1,"2025-02-07 09:00",,0.3,20,35,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,101,細懸浮微粒,對敏感族群不健康,1.2,0.37,22,20,43,26,14,16.9,2.4,1.4,46,"2025-02-07 09:00",,0.3,31,46,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,39,,良好,0.7,0.24,41,43,10,3,6,7.5,0.9,1.8,35,"2025-02-07 09:00",,0.2,2,11,1,121.82463916,24.85366672,201
員林,彰化縣,51,細懸浮微粒,普通,1.1,0.31,35,28,8,9,8,10.5,2.3,3.1,100,"2025-02-07 09:00",,0.3,12,18,1,120.5631893,23.9615945,139
大城,彰化縣,44,,良好,1,0.22,48,49,21,7,3,4.3,1.5,11.2,41,"2025-02-07 09:00",,0.2,8,19,0,120.26964167,23.85493056,85
富貴角,新北市,48,,良好,0.2,0.19,50,52,21,1,1,1.2,0,10.9,40,"2025-02-07 09:00",,0.2,4,18,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.2,0.25,44,45,17,12,4,4.7,0.2,10.3,5,"2025-02-07 09:00",,0.2,10,17,2,120.251825,23.753506,83
關山,臺東縣,33,,良好,0.8,0.26,18,18,29,8,6,10.7,4.2,2.4,56,"2025-02-07 09:00",,0.2,8,18,0,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1.1,0.24,47,49,12,6,2,3.2,0.7,7.6,34,"2025-02-07 09:00",,0.2,7,13,1,119.566158,23.569031,78
金門,金門縣,40,,良好,1.1,0.33,32,34,6,10,5,5.7,0.7,2.3,34,"2025-02-07 09:00",,0.3,10,11,1,118.312256,24.432133,77
馬祖,連江縣,69,細懸浮微粒,普通,1,0.26,39,39,23,18,3,4.1,0.8,2.6,328,"2025-02-07 09:00",,0.2,19,25,0,119.952724,26.153736,75
埔里,南投縣,111,細懸浮微粒,對敏感族群不健康,1.4,0.56,10,7,44,29,7,15.2,8.1,0.5,174,"2025-02-07 09:00",,0.5,35,45,1,120.967903,23.968842,72
復興,高雄市,123,細懸浮微粒,對敏感族群不健康,1,0.65,16,18,45,36,18,23.8,6.2,1.5,200,"2025-02-07 09:00",,0.4,40,51,1,120.312017,22.608711,71
永和,新北市,51,二氧化氮,普通,1.1,0.76,27,37,10,4,22,31.4,9.1,1.4,71,"2025-02-07 09:00",,0.3,4,5,0,121.516306,25.017,70
竹山,南投縣,85,細懸浮微粒,普通,1,0.32,18,12,28,21,12,14.7,2.9,2.2,357,"2025-02-07 09:00",,0.3,25,32,1,120.677306,23.756389,69
中壢,桃園市,54,二氧化氮,普通,1.1,0.51,20,31,12,5,27,41.2,13.8,0.8,343,"2025-02-07 09:00",,0.3,7,9,1,121.221667,24.953278,68
三重,新北市,64,二氧化氮,普通,1.1,1.23,8,18,10,9,43,106.5,63.5,-,-,"2025-02-07 09:00",,0.6,6,8,1,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.6,0.29,40,33,5,0,11,12.6,1.6,1,339,"2025-02-07 09:00",,0.2,2,3,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.9,0.34,39,35,4,0,9,9.8,1.2,0.7,67,"2025-02-07 09:00",,0.2,3,3,0,121.746394,24.747917,65
陽明,臺北市,45,,良好,0.7,0.24,48,49,4,0,2,1.9,0.2,1.2,,"2025-02-07 09:00",,0.2,0,3,0,121.529583,25.182722,64
花蓮,花蓮縣,18,,良好,0.3,0.29,45,20,12,2,5,6.6,1.5,3.6,74,"2025-02-07 09:00",,0.2,4,10,0,121.599769,23.971306,63
臺東,臺東縣,27,,良好,0.7,0.28,27,29,13,5,5,6.5,1.7,1.9,315,"2025-02-07 09:00",,0.2,6,9,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.6,0.18,43,44,4,4,1,2.1,0.8,8.4,17,"2025-02-07 09:00",,0.1,3,5,0,120.788928,21.958069,61
潮州,屏東縣,126,細懸浮微粒,對敏感族群不健康,0.7,0.39,12,12,67,47,8,12.2,3.9,2,16,"2025-02-07 09:00",,0.3,41,62,1,120.561175,22.523108,60
屏東,屏東縣,123,細懸浮微粒,對敏感族群不健康,0.8,0.45,12,17,62,42,13,17.7,5,2.1,341,"2025-02-07 09:00",,0.3,40,57,1,120.488033,22.673081,59
小港,高雄市,127,細懸浮微粒,對敏感族群不健康,0.8,0.5,15,14,52,37,19,26.4,7,2.4,322,"2025-02-07 09:00",,0.4,41,56,2,120.337736,22.565833,58
前鎮,高雄市,126,細懸浮微粒,對敏感族群不健康,0.5,0.56,17,18,52,34,16,23.4,7.1,4,18,"2025-02-07 09:00",,0.4,40,59,1,120.30833356,22.6044507,57
前金,高雄市,113,細懸浮微粒,對敏感族群不健康,0.6,0.43,16,18,58,34,22,33.4,11.9,4.7,355,"2025-02-07 09:00",,0.3,35,60,1,120.28676111,22.63390278,56
左營,高雄市,110,細懸浮微粒,對敏感族群不健康,0.9,0.44,21,20,50,33,14,15.8,2.1,2.2,1,"2025-02-07 09:00",,0.3,34,55,1,120.292917,22.674861,54
楠梓,高雄市,102,細懸浮微粒,對敏感族群不健康,1,0.36,21,18,52,25,13,15.1,2.1,2.6,35,"2025-02-07 09:00",,0.3,31,53,1,120.328289,22.733667,53
林園,高雄市,149,細懸浮微粒,對敏感族群不健康,2.1,0.45,13,14,87,54,19,24.8,5.9,2.9,7,"2025-02-07 09:00",,0.4,50,80,3,120.41175,22.4795,52
大寮,高雄市,130,細懸浮微粒,對敏感族群不健康,1.2,0.4,13,15,61,50,15,20,5.2,3.4,354,"2025-02-07 09:00",,0.3,42,60,2,120.425311,22.56413611,51
鳳山,高雄市,133,細懸浮微粒,對敏感族群不健康,1.4,0.63,14,13,58,39,18,25,7.4,1.6,270,"2025-02-07 09:00",,0.4,43,61,1,120.357422,22.628126,50
仁武,高雄市,119,細懸浮微粒,對敏感族群不健康,0.8,0.41,17,16,43,35,17,21.8,4.6,2.7,333,"2025-02-07 09:00",,0.3,38,52,2,120.332631,22.689056,49
橋頭,高雄市,116,細懸浮微粒,對敏感族群不健康,0.9,0.36,22,19,41,36,14,16.9,2.5,2.8,7,"2025-02-07 09:00",,0.3,37,48,1,120.305689,22.757506,48
美濃,高雄市,104,細懸浮微粒,對敏感族群不健康,1.1,0.45,7,9,56,35,10,13.3,3.5,1.1,173,"2025-02-07 09:00",,0.3,32,49,0,120.530542,22.883583,47
臺南,臺南市,79,細懸浮微粒,普通,0.6,0.38,26,28,43,25,13,14.6,1.9,3.7,7,"2025-02-07 09:00",,0.3,23,39,1,120.21947897,22.98928311,46
安南,臺南市,81,細懸浮微粒,普通,0.3,0.38,26,28,45,24,12,12.6,1,3.7,323,"2025-02-07 09:00",,0.3,23,37,1,120.2175,23.048197,45
善化,臺南市,73,細懸浮微粒,普通,0.8,0.3,28,26,41,21,9,10.2,1.5,4.2,358,"2025-02-07 09:00",,0.3,20,45,1,120.29740529,23.11337642,44
新營,臺南市,67,細懸浮微粒,普通,0.2,0.31,30,28,28,14,9,11.1,2,3.1,6,"2025-02-07 09:00",,0.3,18,33,1,120.31725,23.305633,43
嘉義,嘉義市,71,細懸浮微粒,普通,3,0.37,25,25,24,14,12,14.2,1.6,3.4,352,"2025-02-07 09:00",,0.3,20,31,4,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,1.1,0.25,45,46,23,7,3,3.2,0.4,7.8,22,"2025-02-07 09:00",,0.2,7,22,1,120.19933333,23.702175,41
朴子,嘉義縣,61,細懸浮微粒,普通,0.8,0.33,37,36,29,20,6,6.3,0,2.7,356,"2025-02-07 09:00",,0.2,16,29,1,120.2478,23.46538,40
新港,嘉義縣,52,細懸浮微粒,普通,1.1,0.27,38,33,21,7,6,7.3,1.2,4.3,9,"2025-02-07 09:00",,0.3,13,27,2,120.345531,23.554839,39
崙背,雲林縣,59,細懸浮微粒,普通,0.6,0.33,37,36,27,9,,,,2.4,2,"2025-02-07 09:00",,0.3,16,34,1,120.348742,23.757547,38
斗六,雲林縣,60,細懸浮微粒,普通,0.8,0.3,28,25,23,11,8,10.6,2.1,3,340,"2025-02-07 09:00",,0.2,16,30,1,120.544994,23.711853,37
南投,南投縣,63,細懸浮微粒,普通,1.3,0.39,25,16,14,12,14,17.2,3.7,2.2,350,"2025-02-07 09:00",,0.3,17,23,1,120.685306,23.913,36
二林,彰化縣,55,懸浮微粒,普通,0.9,0.3,42,40,45,10,6,6.4,0.7,7.1,25,"2025-02-07 09:00",,0.3,10,35,1,120.409653,23.925175,35
線西,彰化縣,38,,良好,1.3,0.35,42,41,14,8,8,8.7,1.2,10.1,27,"2025-02-07 09:00",,0.4,8,20,1,120.469061,24.131672,34
彰化,彰化縣,34,,良好,0.8,0.35,34,34,11,7,11,12.7,1.6,3.2,21,"2025-02-07 09:00",,0.2,8,17,1,120.541519,24.066,33
西屯,臺中市,42,,良好,1,0.28,,30,10,6,8,9.9,2.1,6.4,3,"2025-02-07 09:00",,0.2,10,16,1,120.616917,24.162197,32
忠明,臺中市,46,,良好,1,0.37,31,26,15,6,11,13.4,2.8,2.8,358,"2025-02-07 09:00",,0.3,11,18,1,120.641092,24.151958,31
大里,臺中市,55,細懸浮微粒,普通,1.4,0.4,28,20,10,6,10,12.9,3.4,3.8,7,"2025-02-07 09:00",,0.3,14,15,2,120.67844444,24.09961111,30
沙鹿,臺中市,36,,良好,1.1,0.3,39,40,13,6,7,8.1,0.7,6.5,34,"2025-02-07 09:00",,0.2,7,16,1,120.568794,24.225628,29
豐原,臺中市,50,,良好,0.9,0.28,33,26,7,4,6,6.5,0.2,3,14,"2025-02-07 09:00",,0.2,12,13,1,120.74252414,24.25699731,28
三義,苗栗縣,29,,良好,0.5,0.29,35,28,2,1,8,9.3,1.4,7.2,14,"2025-02-07 09:00",,0.2,7,9,1,120.75956754,24.38248443,27
苗栗,苗栗縣,34,,良好,1.5,0.28,37,37,4,5,9,9.9,1,4.1,5,"2025-02-07 09:00",,0.2,7,7,1,120.82011468,24.56499183,26
頭份,苗栗縣,37,,良好,1.2,0.34,38,41,14,3,10,12.8,2.2,3.1,26,"2025-02-07 09:00",,0.2,6,10,1,120.89869286,24.69690679,25
新竹,新竹市,37,,良好,2.1,0.31,37,40,3,7,10,11,0.9,4.1,28,"2025-02-07 09:00",,0.2,7,4,1,120.97236752,24.8056356,24
竹東,新竹縣,29,,良好,0.5,0.26,42,32,0,5,6,6.9,0.8,4.3,30,"2025-02-07 09:00",,0.2,7,4,0,121.08895493,24.74091408,23
湖口,新竹縣,40,,良好,0.5,0.25,41,44,11,3,7,7.1,0.5,6.8,39,"2025-02-07 09:00",,0.2,4,7,0,121.03886894,24.90009696,22
龍潭,桃園市,33,,良好,1,0.31,37,36,5,0,9,10.3,0.9,5.3,43,"2025-02-07 09:00",,0.2,6,6,1,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,0.6,0.41,28,38,6,6,20,22,2.1,2.1,52,"2025-02-07 09:00",,0.3,5,6,0,121.203986,24.952786,20
觀音,桃園市,41,,良好,0.8,0.21,41,44,7,4,5,6,0.6,6.8,55,"2025-02-07 09:00",,0.2,4,8,0,121.08283092,25.03556747,19
大園,桃園市,41,,良好,1.4,0.24,37,45,14,2,14,17.2,3.1,6.6,35,"2025-02-07 09:00",,0.2,4,8,1,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,1.3,0.5,31,39,4,0,16,17.8,1.6,2,51,"2025-02-07 09:00",,0.3,2,3,1,121.30500531,24.9947107,17
大同,臺北市,62,二氧化氮,普通,1,1.05,9,25,11,10,40,88.6,48.6,-,-,"2025-02-07 09:00",,0.5,7,9,1,121.51342074,25.06331455,16
松山,臺北市,53,二氧化氮,普通,1.3,0.33,23,37,4,5,25,28.7,3.6,1.6,20,"2025-02-07 09:00",,0.2,5,2,1,121.578611,25.05,15
古亭,臺北市,50,,良好,1.4,0.4,28,38,0,7,21,24.7,3.3,1,82,"2025-02-07 09:00",,0.2,4,3,1,121.529556,25.020608,14
萬華,臺北市,48,,良好,0.2,0.39,29,37,6,2,21,22.5,1.8,2.1,95,"2025-02-07 09:00",,0.2,2,5,1,121.507972,25.046503,13
中山,臺北市,59,二氧化氮,普通,0.6,0.62,15,32,14,4,35,46.2,11,2.2,81,"2025-02-07 09:00",,0.3,6,9,1,121.526528,25.062361,12
士林,臺北市,38,,良好,0.8,0.35,35,41,1,0,13,13.8,0.5,1,181,"2025-02-07 09:00",,0.2,1,2,1,121.51666356,25.10334003,11
淡水,新北市,41,,良好,0.4,0.29,40,44,1,4,6,7.1,1.2,2.9,20,"2025-02-07 09:00",,0.2,4,7,0,121.449239,25.1645,10
林口,新北市,43,,良好,0.9,0.29,30,41,5,0,18,22.5,4.2,3.3,53,"2025-02-07 09:00",,0.2,2,3,1,121.36548982,25.07798949,9
菜寮,新北市,38,,良好,0.5,0.45,33,35,4,3,17,17.9,1,2.5,87,"2025-02-07 09:00",,0.3,5,7,0,121.481028,25.06895,8
新莊,新北市,38,,良好,0.4,0.41,30,34,0,3,16,18,1.7,3.4,96,"2025-02-07 09:00",,0.2,4,1,0,121.4325,25.037972,7
板橋,新北市,45,,良好,0.8,0.45,30,39,7,5,19,21.2,2.2,2.7,108,"2025-02-07 09:00",,0.3,4,4,1,121.458667,25.012972,6
土城,新北市,36,,良好,1.2,0.44,35,39,4,1,14,15.5,0.9,1.1,125,"2025-02-07 09:00",,0.3,2,6,0,121.451861,24.982528,5
新店,新北市,36,,良好,0.5,0.34,36,39,8,1,13,14.3,1,1.3,82,"2025-02-07 09:00",,0.2,3,7,0,121.537778,24.977222,4
萬里,新北市,52,懸浮微粒,普通,0.8,0.23,49,50,47,6,3,3.7,0.7,5.9,51,"2025-02-07 09:00",,0.2,4,32,0,121.689881,25.179667,3
汐止,新北市,35,,良好,1.7,0.27,35,38,8,3,13,14,1.3,0.3,20,"2025-02-07 09:00",,0.2,4,7,0,121.64081,25.06624,2
基隆,基隆市,41,,良好,1,0.26,47,45,7,3,4,4,0.5,1.6,96,"2025-02-07 09:00",,0.2,3,5,1,121.760056,25.129167,1
屏東(枋山),屏東縣,34,,良好,0.4,0.24,30,38,33,17,8,8.4,0.6,3.8,326,"2025-02-07 08:00",,0.1,8,17,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,29,,良好,0.1,0.23,44,32,11,3,4,5.3,1.7,5.2,37,"2025-02-07 08:00",,0.1,4,6,0,121.61575076,23.97709367,312
新北（樹林）,新北市,52,二氧化氮,普通,0.4,0.43,19,23,0,1,25,33.9,9.3,0,152,"2025-02-07 08:00",,0.2,3,4,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,69,細懸浮微粒,普通,0.2,0.38,11,12,12,14,8,15.3,7.6,0,44,"2025-02-07 08:00",,0.3,19,22,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,136,細懸浮微粒,對敏感族群不健康,4,0.66,12,17,71,49,21,24,2.9,3,324,"2025-02-07 08:00",,0.5,45,64,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,70,細懸浮微粒,普通,0.4,0.35,29,27,37,24,9,9.6,0.7,2.7,356,"2025-02-07 08:00",,0.2,20,37,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,104,細懸浮微粒,對敏感族群不健康,1.2,0.36,22,19,45,34,13,14.3,1.1,1.3,10,"2025-02-07 08:00",,0.3,32,48,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,39,,良好,0.8,0.26,40,43,9,3,7,8.2,1,0.6,56,"2025-02-07 08:00",,0.2,3,11,1,121.82463916,24.85366672,201
員林,彰化縣,55,細懸浮微粒,普通,1.1,0.3,34,27,9,9,7,8.7,1.6,2.5,56,"2025-02-07 08:00",,0.3,14,21,1,120.5631893,23.9615945,139
大城,彰化縣,45,,良好,1,0.22,48,49,21,8,3,4.1,1.2,9.5,45,"2025-02-07 08:00",,0.2,9,20,0,120.26964167,23.85493056,85
富貴角,新北市,48,,良好,0.2,0.2,51,53,19,3,2,1.5,0,10.9,43,"2025-02-07 08:00",,0.2,4,18,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.2,0.26,44,45,19,11,4,4.4,0.1,6.6,359,"2025-02-07 08:00",,0.2,10,18,2,120.251825,23.753506,83
關山,臺東縣,32,,良好,1,0.27,9,19,18,10,6,7.8,2.3,1,35,"2025-02-07 08:00",,0.2,8,15,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,1.1,0.24,47,49,20,12,2,3,0.6,7.5,30,"2025-02-07 08:00",,0.2,8,14,1,119.566158,23.569031,78
金門,金門縣,42,,良好,1,0.32,33,35,6,6,4,4.8,0.6,2.3,30,"2025-02-07 08:00",,0.2,10,12,1,118.312256,24.432133,77
馬祖,連江縣,71,細懸浮微粒,普通,1,0.3,37,40,26,18,4,4.6,0.8,2,330,"2025-02-07 08:00",,0.3,20,27,0,119.952724,26.153736,75
埔里,南投縣,115,細懸浮微粒,對敏感族群不健康,1.4,0.58,3,7,39,32,8,15.7,7.3,0.4,290,"2025-02-07 08:00",,0.4,36,46,1,120.967903,23.968842,72
復興,高雄市,123,細懸浮微粒,對敏感族群不健康,0.9,0.73,10,18,54,40,19,26.1,6.7,0.9,113,"2025-02-07 08:00",,0.4,40,51,1,120.312017,22.608711,71
永和,新北市,38,,良好,0.7,0.6,32,38,1,3,17,21.4,4.4,1.6,93,"2025-02-07 08:00",,0.3,4,4,0,121.516306,25.017,70
竹山,南投縣,88,細懸浮微粒,普通,1.1,0.31,15,11,25,22,12,13.8,1.4,1.8,357,"2025-02-07 08:00",,0.3,26,35,1,120.677306,23.756389,69
中壢,桃園市,52,二氧化氮,普通,1.4,0.47,24,32,11,6,24,37.7,13.4,1.6,44,"2025-02-07 08:00",,0.3,7,8,1,121.221667,24.953278,68
三重,新北市,61,二氧化氮,普通,0.9,1.12,10,19,6,4,39,83.6,45,-,-,"2025-02-07 08:00",,0.5,5,8,1,121.493806,25.072611,67
冬山,宜蘭縣,29,,良好,0.5,0.27,44,32,2,1,4,4.8,0.3,2,290,"2025-02-07 08:00",,0.2,2,3,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,1,0.33,39,34,2,3,6,7,0.8,0.3,65,"2025-02-07 08:00",,0.2,3,2,0,121.746394,24.747917,65
陽明,臺北市,45,,良好,0.8,0.26,49,50,2,0,2,1.9,0.2,2,330,"2025-02-07 08:00",,0.2,1,3,0,121.529583,25.182722,64
花蓮,花蓮縣,21,,良好,0.3,0.36,22,18,10,4,10,12.2,2.2,2.9,71,"2025-02-07 08:00",,0.2,4,9,0,121.599769,23.971306,63
臺東,臺東縣,28,,良好,0.6,0.23,26,30,8,5,3,3.9,1,1.7,318,"2025-02-07 08:00",,0.1,7,9,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.8,0.18,44,44,6,2,1,2,0.7,8.2,21,"2025-02-07 08:00",,0.1,3,6,0,120.788928,21.958069,61
潮州,屏東縣,124,細懸浮微粒,對敏感族群不健康,0.5,0.39,5,12,62,37,8,10.8,2.8,1.3,28,"2025-02-07 08:00",,0.3,40,61,1,120.561175,22.523108,60
屏東,屏東縣,122,細懸浮微粒,對敏感族群不健康,0.7,0.39,13,19,54,40,10,12.3,2.1,1.3,356,"2025-02-07 08:00",,0.3,39,56,1,120.488033,22.673081,59
小港,高雄市,128,細懸浮微粒,對敏感族群不健康,0.8,0.54,10,14,56,50,22,27.4,5.1,2.8,306,"2025-02-07 08:00",,0.4,41,57,2,120.337736,22.565833,58
前鎮,高雄市,127,細懸浮微粒,對敏感族群不健康,0.7,0.55,13,19,62,44,17,23.3,6.1,2.3,357,"2025-02-07 08:00",,0.4,41,60,1,120.30833356,22.6044507,57
前金,高雄市,115,細懸浮微粒,對敏感族群不健康,0.6,0.39,18,18,57,32,13,14.7,1.6,2.3,29,"2025-02-07 08:00",,0.3,36,60,1,120.28676111,22.63390278,56
左營,高雄市,112,細懸浮微粒,對敏感族群不健康,1,0.41,19,21,47,31,13,14.2,1.2,2.8,3,"2025-02-07 08:00",,0.3,35,56,1,120.292917,22.674861,54
楠梓,高雄市,105,細懸浮微粒,對敏感族群不健康,1,0.36,16,17,51,31,15,16.4,1.7,2.6,32,"2025-02-07 08:00",,0.3,32,54,1,120.328289,22.733667,53
林園,高雄市,145,細懸浮微粒,對敏感族群不健康,2.8,0.51,8,14,96,54,23,28.2,5,1.8,32,"2025-02-07 08:00",,0.4,48,76,3,120.41175,22.4795,52
大寮,高雄市,125,細懸浮微粒,對敏感族群不健康,1.1,0.43,10,16,69,51,15,17.8,2.8,2.5,0,"2025-02-07 08:00",,0.3,40,59,2,120.425311,22.56413611,51
鳳山,高雄市,133,細懸浮微粒,對敏感族群不健康,1.6,0.66,9,14,67,53,18,25.1,7,1.2,265,"2025-02-07 08:00",,0.4,44,61,1,120.357422,22.628126,50
仁武,高雄市,120,細懸浮微粒,對敏感族群不健康,0.8,0.41,14,16,49,37,16,18.3,2.4,3.5,351,"2025-02-07 08:00",,0.3,38,54,2,120.332631,22.689056,49
橋頭,高雄市,117,細懸浮微粒,對敏感族群不健康,0.9,0.38,20,19,47,32,14,14.8,1.1,3.4,7,"2025-02-07 08:00",,0.3,37,50,1,120.305689,22.757506,48
美濃,高雄市,101,細懸浮微粒,對敏感族群不健康,0.9,0.45,5,11,64,33,10,12.5,2.5,0.3,206,"2025-02-07 08:00",,0.3,31,46,0,120.530542,22.883583,47
臺南,臺南市,80,細懸浮微粒,普通,0.6,0.36,29,28,39,22,10,11.5,1.1,3.4,5,"2025-02-07 08:00",,0.2,23,38,1,120.21947897,22.98928311,46
安南,臺南市,79,細懸浮微粒,普通,0.3,0.4,29,29,34,26,9,9.3,0.4,2.7,315,"2025-02-07 08:00",,0.3,23,35,1,120.2175,23.048197,45
善化,臺南市,72,細懸浮微粒,普通,0.9,0.32,29,27,52,17,8,9.1,1.2,3.7,4,"2025-02-07 08:00",,0.3,20,46,2,120.29740529,23.11337642,44
新營,臺南市,71,細懸浮微粒,普通,0.1,0.33,32,29,30,14,8,9.6,1.9,2.6,17,"2025-02-07 08:00",,0.3,20,34,1,120.31725,23.305633,43
嘉義,嘉義市,74,細懸浮微粒,普通,1.4,0.31,28,25,26,20,9,9.6,0.7,2.7,1,"2025-02-07 08:00",,0.2,21,33,5,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,1.2,0.26,45,46,25,7,3,3,0.2,9.5,22,"2025-02-07 08:00",,0.2,7,22,1,120.19933333,23.702175,41
朴子,嘉義縣,58,細懸浮微粒,普通,0.7,0.3,38,37,30,16,5,4.9,0,2.8,1,"2025-02-07 08:00",,0.2,15,30,1,120.2478,23.46538,40
新港,嘉義縣,55,細懸浮微粒,普通,1,0.3,36,33,21,9,6,7,0.8,4.1,12,"2025-02-07 08:00",,0.3,14,27,2,120.345531,23.554839,39
崙背,雲林縣,61,細懸浮微粒,普通,0.6,0.35,36,36,38,14,6,6.9,1.2,2.2,22,"2025-02-07 08:00",,0.3,16,35,1,120.348742,23.757547,38
斗六,雲林縣,67,細懸浮微粒,普通,0.8,0.28,31,25,24,12,7,8.4,1.5,1.9,354,"2025-02-07 08:00",,0.2,18,32,2,120.544994,23.711853,37
南投,南投縣,67,細懸浮微粒,普通,1.3,0.34,24,14,15,10,12,14.9,2.4,1.3,350,"2025-02-07 08:00",,0.3,18,26,1,120.685306,23.913,36
二林,彰化縣,53,懸浮微粒,普通,1.1,0.31,42,39,34,7,5,5.4,0.1,5.5,25,"2025-02-07 08:00",,0.3,10,33,1,120.409653,23.925175,35
線西,彰化縣,38,,良好,1.5,0.34,43,41,18,6,7,7.3,0.4,8.4,30,"2025-02-07 08:00",,0.4,9,23,2,120.469061,24.131672,34
彰化,彰化縣,36,,良好,0.8,0.35,35,34,9,4,9,10.1,1,2.9,18,"2025-02-07 08:00",,0.2,9,18,2,120.541519,24.066,33
